fecha,udis
01/01/2020,6.400419
02/01/2020,6.401821
03/01/2020,6.403224
04/01/2020,6.404626
05/01/2020,6.406029
06/01/2020,6.407433
07/01/2020,6.408836
08/01/2020,6.41024
09/01/2020,6.411644
10/01/2020,6.413049
11/01/2020,6.414429
12/01/2020,6.41581
13/01/2020,6.417191
14/01/2020,6.418572
15/01/2020,6.419954
16/01/2020,6.421336
17/01/2020,6.422718
18/01/2020,6.4241
19/01/2020,6.425483
20/01/2020,6.426866
21/01/2020,6.42825
22/01/2020,6.429633
23/01/2020,6.431017
24/01/2020,6.432402
25/01/2020,6.433786
26/01/2020,6.434857
27/01/2020,6.435929
28/01/2020,6.437
29/01/2020,6.438072
30/01/2020,6.439144
31/01/2020,6.440216
01/02/2020,6.441288
02/02/2020,6.442361
03/02/2020,6.443433
04/02/2020,6.444506
05/02/2020,6.445579
06/02/2020,6.446652
07/02/2020,6.447725
08/02/2020,6.448799
09/02/2020,6.449872
10/02/2020,6.450946
11/02/2020,6.451423
12/02/2020,6.4519
13/02/2020,6.452377
14/02/2020,6.452854
15/02/2020,6.45333
16/02/2020,6.453807
17/02/2020,6.454284
18/02/2020,6.454761
19/02/2020,6.455238
20/02/2020,6.455715
21/02/2020,6.456193
22/02/2020,6.45667
23/02/2020,6.457147
24/02/2020,6.457624
25/02/2020,6.458101
26/02/2020,6.458664
27/02/2020,6.459227
28/02/2020,6.45979
29/02/2020,6.460353
01/03/2020,6.460916
02/03/2020,6.461478
03/03/2020,6.462042
04/03/2020,6.462605
05/03/2020,6.463168
06/03/2020,6.463731
07/03/2020,6.464294
08/03/2020,6.464857
09/03/2020,6.465421
10/03/2020,6.465984
11/03/2020,6.468021
12/03/2020,6.470059
13/03/2020,6.472097
14/03/2020,6.474136
15/03/2020,6.476175
16/03/2020,6.478215
17/03/2020,6.480256
18/03/2020,6.482297
19/03/2020,6.484339
20/03/2020,6.486382
21/03/2020,6.488425
22/03/2020,6.490469
23/03/2020,6.492514
24/03/2020,6.494559
25/03/2020,6.496605
26/03/2020,6.497033
27/03/2020,6.497461
28/03/2020,6.497889
29/03/2020,6.498318
30/03/2020,6.498746
31/03/2020,6.499174
01/04/2020,6.499602
02/04/2020,6.50003
03/04/2020,6.500459
04/04/2020,6.500887
05/04/2020,6.501315
06/04/2020,6.501743
07/04/2020,6.502172
08/04/2020,6.5026
09/04/2020,6.503029
10/04/2020,6.503457
11/04/2020,6.500082
12/04/2020,6.496708
13/04/2020,6.493336
14/04/2020,6.489966
15/04/2020,6.486597
16/04/2020,6.48323
17/04/2020,6.479865
18/04/2020,6.476502
19/04/2020,6.47314
20/04/2020,6.469781
21/04/2020,6.466423
22/04/2020,6.463066
23/04/2020,6.459712
24/04/2020,6.456359
25/04/2020,6.453008
26/04/2020,6.449897
27/04/2020,6.446787
28/04/2020,6.443679
29/04/2020,6.440573
30/04/2020,6.437468
01/05/2020,6.434364
02/05/2020,6.431262
03/05/2020,6.428162
04/05/2020,6.425063
05/05/2020,6.421965
06/05/2020,6.418869
07/05/2020,6.415775
08/05/2020,6.412682
09/05/2020,6.40959
10/05/2020,6.4065
11/05/2020,6.407304
12/05/2020,6.408108
13/05/2020,6.408912
14/05/2020,6.409716
15/05/2020,6.41052
16/05/2020,6.411324
17/05/2020,6.412128
18/05/2020,6.412933
19/05/2020,6.413737
20/05/2020,6.414542
21/05/2020,6.415347
22/05/2020,6.416152
23/05/2020,6.416956
24/05/2020,6.417762
25/05/2020,6.418567
26/05/2020,6.419751
27/05/2020,6.420936
28/05/2020,6.422121
29/05/2020,6.423306
30/05/2020,6.424492
31/05/2020,6.425677
01/06/2020,6.426863
02/06/2020,6.428049
03/06/2020,6.429236
04/06/2020,6.430422
05/06/2020,6.431609
06/06/2020,6.432796
07/06/2020,6.433983
08/06/2020,6.43517
09/06/2020,6.436358
10/06/2020,6.437546
11/06/2020,6.437509
12/06/2020,6.437473
13/06/2020,6.437437
14/06/2020,6.4374
15/06/2020,6.437364
16/06/2020,6.437327
17/06/2020,6.437291
18/06/2020,6.437255
19/06/2020,6.437218
20/06/2020,6.437182
21/06/2020,6.437146
22/06/2020,6.437109
23/06/2020,6.437073
24/06/2020,6.437036
25/06/2020,6.437
26/06/2020,6.43836
27/06/2020,6.439721
28/06/2020,6.441082
29/06/2020,6.442443
30/06/2020,6.443804
01/07/2020,6.445166
02/07/2020,6.446528
03/07/2020,6.44789
04/07/2020,6.449253
05/07/2020,6.450616
06/07/2020,6.451979
07/07/2020,6.453342
08/07/2020,6.454706
09/07/2020,6.45607
10/07/2020,6.457434
11/07/2020,6.459435
12/07/2020,6.461436
13/07/2020,6.463438
14/07/2020,6.465441
15/07/2020,6.467444
16/07/2020,6.469448
17/07/2020,6.471452
18/07/2020,6.473457
19/07/2020,6.475463
20/07/2020,6.477469
21/07/2020,6.479476
22/07/2020,6.481484
23/07/2020,6.483492
24/07/2020,6.4855
25/07/2020,6.48751
26/07/2020,6.488948
27/07/2020,6.490386
28/07/2020,6.491824
29/07/2020,6.493263
30/07/2020,6.494702
31/07/2020,6.496141
01/08/2020,6.497581
02/08/2020,6.49902
03/08/2020,6.500461
04/08/2020,6.501901
05/08/2020,6.503342
06/08/2020,6.504783
07/08/2020,6.506225
08/08/2020,6.507667
09/08/2020,6.509109
10/08/2020,6.510552
11/08/2020,6.511141
12/08/2020,6.511731
13/08/2020,6.512321
14/08/2020,6.512911
15/08/2020,6.513501
16/08/2020,6.514091
17/08/2020,6.514681
18/08/2020,6.515272
19/08/2020,6.515862
20/08/2020,6.516452
21/08/2020,6.517042
22/08/2020,6.517633
23/08/2020,6.518223
24/08/2020,6.518814
25/08/2020,6.519404
26/08/2020,6.520389
27/08/2020,6.521373
28/08/2020,6.522358
29/08/2020,6.523342
30/08/2020,6.524327
31/08/2020,6.525312
01/09/2020,6.526297
02/09/2020,6.527282
03/09/2020,6.528268
04/09/2020,6.529253
05/09/2020,6.530239
06/09/2020,6.531225
07/09/2020,6.532211
08/09/2020,6.533197
09/09/2020,6.534183
10/09/2020,6.53517
11/09/2020,6.535893
12/09/2020,6.536616
13/09/2020,6.537339
14/09/2020,6.538062
15/09/2020,6.538786
16/09/2020,6.539509
17/09/2020,6.540233
18/09/2020,6.540956
19/09/2020,6.54168
20/09/2020,6.542404
21/09/2020,6.543127
22/09/2020,6.543851
23/09/2020,6.544575
24/09/2020,6.545299
25/09/2020,6.546024
26/09/2020,6.546735
27/09/2020,6.547446
28/09/2020,6.548157
29/09/2020,6.548868
30/09/2020,6.549579
01/10/2020,6.55029
02/10/2020,6.551002
03/10/2020,6.551713
04/10/2020,6.552425
05/10/2020,6.553136
06/10/2020,6.553848
07/10/2020,6.55456
08/10/2020,6.555272
09/10/2020,6.555984
10/10/2020,6.556696
11/10/2020,6.556554
12/10/2020,6.556413
13/10/2020,6.556271
14/10/2020,6.55613
15/10/2020,6.555988
16/10/2020,6.555847
17/10/2020,6.555705
18/10/2020,6.555564
19/10/2020,6.555422
20/10/2020,6.555281
21/10/2020,6.555139
22/10/2020,6.554998
23/10/2020,6.554856
24/10/2020,6.554715
25/10/2020,6.554573
26/10/2020,6.5568
27/10/2020,6.559027
28/10/2020,6.561255
29/10/2020,6.563484
30/10/2020,6.565713
31/10/2020,6.567944
01/11/2020,6.570175
02/11/2020,6.572406
03/11/2020,6.574639
04/11/2020,6.576872
05/11/2020,6.579106
06/11/2020,6.581341
07/11/2020,6.583577
08/11/2020,6.585813
09/11/2020,6.58805
10/11/2020,6.590288
11/11/2020,6.590999
12/11/2020,6.59171
13/11/2020,6.592421
14/11/2020,6.593132
15/11/2020,6.593843
16/11/2020,6.594555
17/11/2020,6.595266
18/11/2020,6.595977
19/11/2020,6.596689
20/11/2020,6.597401
21/11/2020,6.598112
22/11/2020,6.598824
23/11/2020,6.599536
24/11/2020,6.600248
25/11/2020,6.60096
26/11/2020,6.601154
27/11/2020,6.601348
28/11/2020,6.601542
29/11/2020,6.601736
30/11/2020,6.60193
01/12/2020,6.602124
02/12/2020,6.602318
03/12/2020,6.602512
04/12/2020,6.602706
05/12/2020,6.6029
06/12/2020,6.603094
07/12/2020,6.603288
08/12/2020,6.603482
09/12/2020,6.603676
10/12/2020,6.60387
11/12/2020,6.60343
12/12/2020,6.602989
13/12/2020,6.602548
14/12/2020,6.602107
15/12/2020,6.601667
16/12/2020,6.601226
17/12/2020,6.600785
18/12/2020,6.600345
19/12/2020,6.599904
20/12/2020,6.599463
21/12/2020,6.599023
22/12/2020,6.598582
23/12/2020,6.598142
24/12/2020,6.597701
25/12/2020,6.597261
26/12/2020,6.59865
27/12/2020,6.600039
28/12/2020,6.601428
29/12/2020,6.602817
30/12/2020,6.604207
31/12/2020,6.605597
01/01/2021,6.606988
02/01/2021,6.608378
03/01/2021,6.609769
04/01/2021,6.611161
05/01/2021,6.612552
06/01/2021,6.613944
07/01/2021,6.615336
08/01/2021,6.616729
09/01/2021,6.618121
10/01/2021,6.619514
11/01/2021,6.620346
12/01/2021,6.621179
13/01/2021,6.622011
14/01/2021,6.622843
15/01/2021,6.623676
16/01/2021,6.624508
17/01/2021,6.625341
18/01/2021,6.626173
19/01/2021,6.627006
20/01/2021,6.627839
21/01/2021,6.628672
22/01/2021,6.629505
23/01/2021,6.630339
24/01/2021,6.631172
25/01/2021,6.632006
26/01/2021,6.63413
27/01/2021,6.636256
28/01/2021,6.638382
29/01/2021,6.640509
30/01/2021,6.642636
31/01/2021,6.644764
01/02/2021,6.646893
02/02/2021,6.649022
03/02/2021,6.651153
04/02/2021,6.653283
05/02/2021,6.655415
06/02/2021,6.657547
07/02/2021,6.65968
08/02/2021,6.661814
09/02/2021,6.663948
10/02/2021,6.666083
11/02/2021,6.668293
12/02/2021,6.670504
13/02/2021,6.672715
14/02/2021,6.674928
15/02/2021,6.677141
16/02/2021,6.679355
17/02/2021,6.681569
18/02/2021,6.683784
19/02/2021,6.686
20/02/2021,6.688217
21/02/2021,6.690434
22/02/2021,6.692653
23/02/2021,6.694871
24/02/2021,6.697091
25/02/2021,6.699312
26/02/2021,6.700486
27/02/2021,6.70166
28/02/2021,6.702835
01/03/2021,6.704009
02/03/2021,6.705184
03/03/2021,6.70636
04/03/2021,6.707535
05/03/2021,6.708711
06/03/2021,6.709886
07/03/2021,6.711062
08/03/2021,6.712239
09/03/2021,6.713415
10/03/2021,6.714592
11/03/2021,6.715976
12/03/2021,6.717361
13/03/2021,6.718746
14/03/2021,6.720132
15/03/2021,6.721517
16/03/2021,6.722903
17/03/2021,6.72429
18/03/2021,6.725676
19/03/2021,6.727063
20/03/2021,6.72845
21/03/2021,6.729837
22/03/2021,6.731225
23/03/2021,6.732613
24/03/2021,6.734001
25/03/2021,6.73539
26/03/2021,6.737617
27/03/2021,6.739844
28/03/2021,6.742072
29/03/2021,6.744301
30/03/2021,6.74653
31/03/2021,6.748761
01/04/2021,6.750992
02/04/2021,6.753224
03/04/2021,6.755456
04/04/2021,6.757689
05/04/2021,6.759923
06/04/2021,6.762158
07/04/2021,6.764394
08/04/2021,6.76663
09/04/2021,6.768867
10/04/2021,6.771105
11/04/2021,6.772368
12/04/2021,6.773632
13/04/2021,6.774896
14/04/2021,6.77616
15/04/2021,6.777425
16/04/2021,6.77869
17/04/2021,6.779955
18/04/2021,6.78122
19/04/2021,6.782486
20/04/2021,6.783751
21/04/2021,6.785017
22/04/2021,6.786284
23/04/2021,6.78755
24/04/2021,6.788817
25/04/2021,6.790084
26/04/2021,6.790371
27/04/2021,6.790658
28/04/2021,6.790944
29/04/2021,6.791231
30/04/2021,6.791518
01/05/2021,6.791805
02/05/2021,6.792092
03/05/2021,6.792379
04/05/2021,6.792666
05/05/2021,6.792953
06/05/2021,6.793241
07/05/2021,6.793528
08/05/2021,6.793815
09/05/2021,6.794102
10/05/2021,6.794389
11/05/2021,6.795503
12/05/2021,6.796618
13/05/2021,6.797733
14/05/2021,6.798848
15/05/2021,6.799963
16/05/2021,6.801078
17/05/2021,6.802194
18/05/2021,6.803309
19/05/2021,6.804425
20/05/2021,6.805541
21/05/2021,6.806658
22/05/2021,6.807774
23/05/2021,6.808891
24/05/2021,6.810007
25/05/2021,6.811124
26/05/2021,6.811098
27/05/2021,6.811071
28/05/2021,6.811045
29/05/2021,6.811018
30/05/2021,6.810992
31/05/2021,6.810965
01/06/2021,6.810939
02/06/2021,6.810912
03/06/2021,6.810886
04/06/2021,6.810859
05/06/2021,6.810833
06/06/2021,6.810806
07/06/2021,6.810779
08/06/2021,6.810753
09/06/2021,6.810726
10/06/2021,6.8107
11/06/2021,6.811492
12/06/2021,6.812283
13/06/2021,6.813075
14/06/2021,6.813867
15/06/2021,6.814659
16/06/2021,6.815451
17/06/2021,6.816244
18/06/2021,6.817036
19/06/2021,6.817828
20/06/2021,6.818621
21/06/2021,6.819413
22/06/2021,6.820206
23/06/2021,6.820999
24/06/2021,6.821792
25/06/2021,6.822585
26/06/2021,6.824142
27/06/2021,6.825701
28/06/2021,6.827259
29/06/2021,6.828818
30/06/2021,6.830377
01/07/2021,6.831937
02/07/2021,6.833497
03/07/2021,6.835058
04/07/2021,6.836618
05/07/2021,6.838179
06/07/2021,6.839741
07/07/2021,6.841303
08/07/2021,6.842865
09/07/2021,6.844427
10/07/2021,6.84599
11/07/2021,6.846915
12/07/2021,6.84784
13/07/2021,6.848765
14/07/2021,6.84969
15/07/2021,6.850615
16/07/2021,6.851541
17/07/2021,6.852467
18/07/2021,6.853392
19/07/2021,6.854318
20/07/2021,6.855244
21/07/2021,6.85617
22/07/2021,6.857096
23/07/2021,6.858023
24/07/2021,6.858949
25/07/2021,6.859876
26/07/2021,6.861446
27/07/2021,6.863016
28/07/2021,6.864587
29/07/2021,6.866158
30/07/2021,6.86773
31/07/2021,6.869301
01/08/2021,6.870874
02/08/2021,6.872446
03/08/2021,6.874019
04/08/2021,6.875592
05/08/2021,6.877166
06/08/2021,6.87874
07/08/2021,6.880314
08/08/2021,6.881889
09/08/2021,6.883464
10/08/2021,6.88504
11/08/2021,6.886134
12/08/2021,6.887228
13/08/2021,6.888323
14/08/2021,6.889418
15/08/2021,6.890513
16/08/2021,6.891608
17/08/2021,6.892703
18/08/2021,6.893799
19/08/2021,6.894894
20/08/2021,6.89599
21/08/2021,6.897086
22/08/2021,6.898182
23/08/2021,6.899279
24/08/2021,6.900375
25/08/2021,6.901472
26/08/2021,6.901381
27/08/2021,6.90129
28/08/2021,6.901199
29/08/2021,6.901108
30/08/2021,6.901017
31/08/2021,6.900926
01/09/2021,6.900835
02/09/2021,6.900744
03/09/2021,6.900653
04/09/2021,6.900562
05/09/2021,6.900472
06/09/2021,6.900381
07/09/2021,6.90029
08/09/2021,6.900199
09/09/2021,6.900108
10/09/2021,6.900017
11/09/2021,6.900861
12/09/2021,6.901705
13/09/2021,6.90255
14/09/2021,6.903394
15/09/2021,6.904239
16/09/2021,6.905083
17/09/2021,6.905928
18/09/2021,6.906773
19/09/2021,6.907618
20/09/2021,6.908463
21/09/2021,6.909308
22/09/2021,6.910153
23/09/2021,6.910999
24/09/2021,6.911844
25/09/2021,6.91269
26/09/2021,6.914622
27/09/2021,6.916555
28/09/2021,6.918489
29/09/2021,6.920423
30/09/2021,6.922358
01/10/2021,6.924293
02/10/2021,6.926229
03/10/2021,6.928165
04/10/2021,6.930102
05/10/2021,6.932039
06/10/2021,6.933977
07/10/2021,6.935916
08/10/2021,6.937855
09/10/2021,6.939794
10/10/2021,6.941734
11/10/2021,6.942696
12/10/2021,6.943657
13/10/2021,6.944618
14/10/2021,6.94558
15/10/2021,6.946542
16/10/2021,6.947503
17/10/2021,6.948465
18/10/2021,6.949427
19/10/2021,6.95039
20/10/2021,6.951352
21/10/2021,6.952314
22/10/2021,6.953277
23/10/2021,6.95424
24/10/2021,6.955203
25/10/2021,6.956166
26/10/2021,6.958509
27/10/2021,6.960854
28/10/2021,6.963199
29/10/2021,6.965545
30/10/2021,6.967892
31/10/2021,6.97024
01/11/2021,6.972588
02/11/2021,6.974938
03/11/2021,6.977288
04/11/2021,6.979638
05/11/2021,6.98199
06/11/2021,6.984342
07/11/2021,6.986696
08/11/2021,6.98905
09/11/2021,6.991405
10/11/2021,6.99376
11/11/2021,6.99554
12/11/2021,6.99732
13/11/2021,6.9991
14/11/2021,7.000881
15/11/2021,7.002662
16/11/2021,7.004444
17/11/2021,7.006226
18/11/2021,7.008009
19/11/2021,7.009792
20/11/2021,7.011576
21/11/2021,7.01336
22/11/2021,7.015144
23/11/2021,7.016929
24/11/2021,7.018715
25/11/2021,7.020501
26/11/2021,7.023736
27/11/2021,7.026973
28/11/2021,7.030212
29/11/2021,7.033452
30/11/2021,7.036693
01/12/2021,7.039936
02/12/2021,7.043181
03/12/2021,7.046427
04/12/2021,7.049675
05/12/2021,7.052924
06/12/2021,7.056174
07/12/2021,7.059426
08/12/2021,7.06268
09/12/2021,7.065935
10/12/2021,7.069191
11/12/2021,7.071611
12/12/2021,7.074031
13/12/2021,7.076453
14/12/2021,7.078875
15/12/2021,7.081298
16/12/2021,7.083722
17/12/2021,7.086146
18/12/2021,7.088572
19/12/2021,7.090998
20/12/2021,7.093425
21/12/2021,7.095853
22/12/2021,7.098282
23/12/2021,7.100711
24/12/2021,7.103142
25/12/2021,7.105573
26/12/2021,7.106016
27/12/2021,7.106459
28/12/2021,7.106903
29/12/2021,7.107346
30/12/2021,7.107789
31/12/2021,7.108233
01/01/2022,7.108676
02/01/2022,7.109119
03/01/2022,7.109563
04/01/2022,7.110006
05/01/2022,7.11045
06/01/2022,7.110893
07/01/2022,7.111337
08/01/2022,7.11178
09/01/2022,7.112224
10/01/2022,7.112667
11/01/2022,7.11272
12/01/2022,7.112772
13/01/2022,7.112825
14/01/2022,7.112878
15/01/2022,7.11293
16/01/2022,7.112983
17/01/2022,7.113035
18/01/2022,7.113088
19/01/2022,7.11314
20/01/2022,7.113193
21/01/2022,7.113245
22/01/2022,7.113298
23/01/2022,7.113351
24/01/2022,7.113403
25/01/2022,7.113456
26/01/2022,7.115181
27/01/2022,7.116906
28/01/2022,7.118632
29/01/2022,7.120358
30/01/2022,7.122085
31/01/2022,7.123812
01/02/2022,7.125539
02/02/2022,7.127267
03/02/2022,7.128996
04/02/2022,7.130724
05/02/2022,7.132453
06/02/2022,7.134183
07/02/2022,7.135913
08/02/2022,7.137644
09/02/2022,7.139374
10/02/2022,7.141106
11/02/2022,7.142978
12/02/2022,7.144851
13/02/2022,7.146724
14/02/2022,7.148598
15/02/2022,7.150472
16/02/2022,7.152346
17/02/2022,7.154222
18/02/2022,7.156097
19/02/2022,7.157973
20/02/2022,7.15985
21/02/2022,7.161727
22/02/2022,7.163605
23/02/2022,7.165483
24/02/2022,7.167362
25/02/2022,7.169241
26/02/2022,7.171564
27/02/2022,7.173887
28/02/2022,7.176212
01/03/2022,7.178537
02/03/2022,7.180863
03/03/2022,7.18319
04/03/2022,7.185517
05/03/2022,7.187846
06/03/2022,7.190175
07/03/2022,7.192504
08/03/2022,7.194835
09/03/2022,7.197166
10/03/2022,7.199498
11/03/2022,7.201499
12/03/2022,7.203501
13/03/2022,7.205503
14/03/2022,7.207506
15/03/2022,7.209509
16/03/2022,7.211513
17/03/2022,7.213518
18/03/2022,7.215523
19/03/2022,7.217528
20/03/2022,7.219535
21/03/2022,7.221541
22/03/2022,7.223548
23/03/2022,7.225556
24/03/2022,7.227565
25/03/2022,7.229574
26/03/2022,7.231752
27/03/2022,7.23393
28/03/2022,7.236109
29/03/2022,7.238289
30/03/2022,7.24047
31/03/2022,7.242651
01/04/2022,7.244833
02/04/2022,7.247016
03/04/2022,7.249199
04/04/2022,7.251383
05/04/2022,7.253567
06/04/2022,7.255753
07/04/2022,7.257938
08/04/2022,7.260125
09/04/2022,7.262312
10/04/2022,7.2645
11/04/2022,7.267354
12/04/2022,7.270209
13/04/2022,7.273066
14/04/2022,7.275923
15/04/2022,7.278782
16/04/2022,7.281642
17/04/2022,7.284503
18/04/2022,7.287365
19/04/2022,7.290228
20/04/2022,7.293092
21/04/2022,7.295957
22/04/2022,7.298824
23/04/2022,7.301692
24/04/2022,7.30456
25/04/2022,7.30743
26/04/2022,7.308198
27/04/2022,7.308965
28/04/2022,7.309733
29/04/2022,7.310501
30/04/2022,7.311269
01/05/2022,7.312036
02/05/2022,7.312804
03/05/2022,7.313572
04/05/2022,7.314341
05/05/2022,7.315109
06/05/2022,7.315877
07/05/2022,7.316646
08/05/2022,7.317414
09/05/2022,7.318183
10/05/2022,7.318951
11/05/2022,7.319811
12/05/2022,7.320672
13/05/2022,7.321532
14/05/2022,7.322393
15/05/2022,7.323254
16/05/2022,7.324115
17/05/2022,7.324976
18/05/2022,7.325837
19/05/2022,7.326698
20/05/2022,7.327559
