date,value
2020-01-02,18.8496
2020-01-03,18.9294
2020-01-06,18.8427
2020-01-07,18.8945
2020-01-08,18.8165
2020-01-09,18.8422
2020-01-10,18.7999
2020-01-13,18.8045
2020-01-14,18.7969
2020-01-15,18.8057
2020-01-16,18.7832
2020-01-17,18.6699
2020-01-20,18.6645
2020-01-21,18.7744
2020-01-22,18.6886
2020-01-23,18.7643
2020-01-24,18.7839
2020-01-27,18.9122
2020-01-28,18.7235
2020-01-29,18.7012
2020-01-30,18.7878
2020-01-31,18.8964
2020-02-03,18.8206
2020-02-04,18.6684
2020-02-05,18.5946
2020-02-06,18.6585
2020-02-07,18.7719
2020-02-10,18.7097
2020-02-11,18.6647
2020-02-12,18.6254
2020-02-13,18.6056
2020-02-14,18.5483
2020-02-17,18.5576
2020-02-18,18.5918
2020-02-19,18.5687
2020-02-20,18.8412
2020-02-21,18.8819
2020-02-24,19.0748
2020-02-25,19.0779
2020-02-26,19.2917
2020-02-27,19.5007
2020-02-28,19.65
2020-03-02,19.4073
2020-03-03,19.4515
2020-03-04,19.5241
2020-03-05,19.8513
2020-03-06,20.0955
2020-03-09,20.9439
2020-03-10,20.7885
2020-03-11,21.3662
2020-03-12,21.9745
2020-03-13,21.9021
2020-03-16,22.7787
2020-03-17,22.9652
2020-03-18,23.7922
2020-03-19,24.0856
2020-03-20,24.4156
2020-03-23,25.4486
2020-03-24,24.7578
2020-03-25,24.0136
2020-03-26,23.4319
2020-03-27,23.3526
2020-03-30,23.8015
2020-03-31,23.6428
2020-04-01,24.2636
2020-04-02,24.2937
2020-04-03,24.8628
2020-04-06,24.6139
2020-04-07,24.3656
2020-04-08,24.006
2020-04-09,23.5681
2020-04-13,23.6787
2020-04-14,23.3928
2020-04-15,24.2238
2020-04-16,23.9129
2020-04-17,23.7457
2020-04-20,24.0865
2020-04-21,24.4061
2020-04-22,24.4885
2020-04-23,24.7733
2020-04-24,25.0505
2020-04-27,24.7353
2020-04-28,24.3123
2020-04-29,23.7396
2020-04-30,24.1498
2020-05-01,24.6055
2020-05-04,24.0936
2020-05-05,23.9896
2020-05-06,24.4415
2020-05-07,24.0794
2020-05-08,23.7448
2020-05-11,23.9341
2020-05-12,24.3436
2020-05-13,24.2053
2020-05-14,23.8651
2020-05-15,24.0078
2020-05-18,23.7691
2020-05-19,23.7501
2020-05-20,23.2095
2020-05-21,22.8755
2020-05-22,22.7706
2020-05-25,22.577
2020-05-26,22.2181
2020-05-27,22.3238
2020-05-28,22.2193
2020-05-29,22.1771
2020-06-01,22.036
2020-06-02,21.7821
2020-06-03,21.7686
2020-06-04,21.9152
2020-06-05,21.6402
2020-06-08,21.4992
2020-06-09,21.9111
2020-06-10,21.8662
2020-06-11,22.7753
2020-06-12,22.277
2020-06-15,22.2343
2020-06-16,22.3262
2020-06-17,22.3192
2020-06-18,22.7491
2020-06-19,22.5725
2020-06-22,22.4777
2020-06-23,22.4194
2020-06-24,22.7379
2020-06-25,22.6642
2020-06-26,23.0337
2020-06-29,23.0601
2020-06-30,23.0043
2020-07-01,22.6796
2020-07-02,22.4912
2020-07-03,22.4203
2020-07-06,22.3365
2020-07-07,22.8314
2020-07-08,22.6615
2020-07-09,22.6391
2020-07-10,22.473
2020-07-13,22.7362
2020-07-14,22.4202
