date,value
2014-12-31,17.8679
2015-01-02,17.8537
2015-01-05,17.695
2015-01-06,17.7781
2015-01-07,17.4803
2015-01-08,17.3087
2015-01-09,17.319
2015-01-12,17.2955
2015-01-13,17.2164
2015-01-14,17.2151
2015-01-15,16.9345
2015-01-16,16.9787
2015-01-19,16.959
2015-01-20,16.9308
2015-01-21,16.9351
2015-01-22,17.0639
2015-01-23,16.4851
2015-01-26,16.4691
2015-01-27,16.5181
2015-01-28,16.5951
2015-01-29,16.7722
2015-01-30,16.8382
2015-02-02,16.8802
2015-02-03,16.8433
2015-02-04,16.8433
2015-02-05,16.8862
2015-02-06,16.8843
2015-02-09,16.7073
2015-02-10,16.7845
2015-02-11,16.9653
2015-02-12,17.0866
2015-02-13,17.0348
2015-02-16,16.9608
2015-02-17,16.933
2015-02-18,16.9923
2015-02-19,17.0207
2015-02-20,16.9572
2015-02-23,17.0685
2015-02-24,17.1143
2015-02-25,16.9424
2015-02-26,16.8425
2015-02-27,16.8723
2015-03-02,16.7816
2015-03-03,16.7967
2015-03-04,16.7283
2015-03-05,16.6566
2015-03-06,16.6451
2015-03-09,16.8091
2015-03-10,16.6847
2015-03-11,16.5093
2015-03-12,16.326
2015-03-13,16.3713
2015-03-16,16.3206
2015-03-17,16.4024
2015-03-18,16.3169
2015-03-19,16.3091
2015-03-20,16.265
2015-03-23,16.3462
2015-03-24,16.3437
2015-03-25,16.3611
2015-03-26,16.4244
2015-03-27,16.4268
2015-03-30,16.5321
2015-03-31,16.5124
2015-04-01,16.3847
2015-04-02,16.3666
2015-04-07,16.1919
2015-04-08,16.1382
2015-04-09,16.0549
2015-04-10,16.0487
2015-04-13,16.1398
2015-04-14,16.2263
2015-04-15,16.2123
2015-04-16,16.3075
2015-04-17,16.4205
2015-04-20,16.4689
2015-04-21,16.5053
2015-04-22,16.5727
2015-04-23,16.611
2015-04-24,16.6235
2015-04-27,16.6591
2015-04-28,16.7325
2015-04-29,16.8221
2015-04-30,17.0894
2015-05-04,17.3313
2015-05-05,17.1652
2015-05-06,17.2044
2015-05-07,17.3362
2015-05-08,17.1765
2015-05-11,16.9074
2015-05-12,17.3215
2015-05-13,17.1482
2015-05-14,17.3826
2015-05-15,17.2921
2015-05-18,17.1188
2015-05-19,16.9139
2015-05-20,16.8716
2015-05-21,16.8999
2015-05-22,17.005
2015-05-25,16.7662
2015-05-26,16.7097
2015-05-27,16.655
2015-05-28,16.7079
2015-05-29,16.8433
2015-06-01,16.8773
2015-06-02,17.0376
2015-06-03,17.2326
2015-06-04,17.5812
2015-06-05,17.4451
2015-06-08,17.4998
2015-06-09,17.5448
2015-06-10,17.4289
2015-06-11,17.4152
2015-06-12,17.3125
2015-06-15,17.3273
2015-06-16,17.3283
2015-06-17,17.3843
2015-06-18,17.3278
2015-06-19,17.3146
2015-06-22,17.3868
2015-06-23,17.2284
2015-06-24,17.249
2015-06-25,17.3559
2015-06-26,17.4219
2015-06-29,17.3959
2015-06-30,17.5332
2015-07-01,17.4492
2015-07-02,17.5086
2015-07-03,17.424
2015-07-06,17.4537
2015-07-07,17.3038
2015-07-08,17.4455
2015-07-09,17.4211
2015-07-10,17.5694
2015-07-13,17.4077
2015-07-14,17.3076
2015-07-15,17.2346
2015-07-16,17.1981
2015-07-17,17.2141
2015-07-20,17.2628
2015-07-21,17.3622
2015-07-22,17.5173
2015-07-23,17.6836
2015-07-24,17.8076
2015-07-27,18.0555
2015-07-28,17.8941
2015-07-29,17.9695
2015-07-30,17.9459
2015-07-31,17.7473
2015-08-03,17.6897
2015-08-04,17.6781
2015-08-05,17.7295
2015-08-06,17.8345
2015-08-07,17.818
2015-08-10,17.7623
2015-08-11,17.9843
2015-08-12,18.0895
2015-08-13,18.0982
2015-08-14,18.326
2015-08-17,18.29
2015-08-18,18.186
2015-08-19,18.1282
2015-08-20,18.7203
2015-08-21,18.9972
2015-08-24,19.6875
2015-08-25,19.5343
2015-08-26,19.3982
2015-08-27,19.1585
2015-08-28,19.0764
2015-08-31,18.913
2015-09-01,18.9495
2015-09-02,19.0198
2015-09-03,18.9809
2015-09-04,18.7826
2015-09-07,18.8887
2015-09-08,18.8117
2015-09-09,18.6895
2015-09-10,18.9163
2015-09-11,18.8722
2015-09-14,18.9743
2015-09-15,18.9457
2015-09-16,18.6879
2015-09-17,18.7496
2015-09-18,18.7957
2015-09-21,18.6722
2015-09-22,18.7248
2015-09-23,18.7989
2015-09-24,19.4059
2015-09-25,18.6723
2015-09-28,19.0756
2015-09-29,19.016
2015-09-30,18.9768
2015-10-01,18.8045
2015-10-02,18.8107
2015-10-05,18.7147
2015-10-06,18.8647
2015-10-07,18.6678
2015-10-08,18.6929
2015-10-09,18.6271
2015-10-12,18.6802
2015-10-13,18.8763
2015-10-14,18.8927
2015-10-15,18.7577
2015-10-16,18.7145
2015-10-19,18.636
2015-10-20,18.7711
2015-10-21,18.9044
2015-10-22,18.7683
2015-10-23,18.2027
2015-10-26,18.1891
2015-10-27,18.3502
2015-10-28,18.3058
2015-10-29,18.1941
2015-10-30,18.2497
2015-11-02,18.2111
2015-11-03,18.0939
2015-11-04,17.9197
2015-11-05,17.9972
2015-11-06,18.0924
2015-11-09,18.1743
2015-11-10,17.9789
2015-11-11,17.9011
2015-11-12,18.0004
2015-11-13,18.062
2015-11-16,17.9456
2015-11-17,17.888
2015-11-18,17.8707
