fecha,tipo,Descriptores,valor
1993-03-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,13759053.956
1993-03-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,
1993-03-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
1993-03-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,
1993-06-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,13889145.022
1993-06-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,
1993-06-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
1993-06-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,
1993-09-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,13862878.872
1993-09-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,
1993-09-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
1993-09-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,
1993-12-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,14077352.767
1993-12-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,
1993-12-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
1993-12-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,
1994-03-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,14100080.573999995
1994-03-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,2.47856152821673
1994-03-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.00000000000004
1994-03-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,2.478561528216745
1994-06-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,14655082.637
1994-06-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,5.514649129134867
1994-06-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
1994-06-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,5.514649129134856
1994-09-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,14488831.889
1994-09-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,4.515317653566825
1994-09-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
1994-09-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,4.515317653566816
1994-12-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,14787062.246999998
1994-12-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,5.041498154849762
1994-12-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
1994-12-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,5.041498154849783
1995-03-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,14043942.174
1995-03-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,-0.3981424056789677
1995-03-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
1995-03-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,-0.3981424056789914
1995-06-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,13287443.87
1995-06-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,-9.332180519726949
1995-06-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
1995-06-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,-9.332180519726949
1995-09-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,13412238.39
1995-09-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,-7.430505835445274
1995-09-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
1995-09-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,-7.430505835445269
1995-12-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,13857623.55
1995-12-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,-6.285485794776875
1995-12-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
1995-12-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,-6.285485794776883
1996-03-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,14237650.096
1996-03-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,1.3792987723818584
1996-03-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
1996-03-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,1.3792987723818555
1996-06-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,14340821.386000002
1996-06-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,7.927615923016489
1996-06-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
1996-06-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,7.927615923016498
1996-09-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,14412887.421
1996-09-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,7.460716115410463
1996-09-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
1996-09-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,7.460716115410472
1996-12-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,15005156.934000002
1996-12-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,8.28088149356607
1996-12-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
1996-12-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,8.280881493566042
1997-03-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,14809591.398
1997-03-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,4.017104635551362
1997-03-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
1997-03-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,4.017104635551372
1997-06-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,15584335.623000002
1997-06-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,8.671150720934023
1997-06-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
1997-06-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,8.671150720934028
1997-09-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,15624252.001000002
1997-09-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,8.404732130461284
1997-09-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
1997-09-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,8.404732130461284
1997-12-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,16153434.161000002
1997-12-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,7.652550600108228
1997-12-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
1997-12-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,7.652550600108236
1998-03-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,16337214.143
1998-03-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,10.315090429883853
1998-03-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
1998-03-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,10.315090429883847
1998-06-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,16539597.626
1998-06-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,6.129629302837799
1998-06-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
1998-06-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,6.12962930283781
1998-09-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,16552799.275
1998-09-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,5.942987055895969
1998-09-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
1998-09-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,5.942987055895989
1998-12-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,16587365.487999998
1998-12-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,2.686310060604072
1998-12-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
1998-12-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,2.6863100606040824
1999-03-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,16704973.281999998
