date,value
2014-12-31,0.82366
2015-01-02,0.83036
2015-01-05,0.83928
2015-01-06,0.83935
2015-01-07,0.84524
2015-01-08,0.84976
2015-01-09,0.84653
2015-01-12,0.84717
2015-01-13,0.84875
2015-01-14,0.84926
2015-01-15,0.85412
2015-01-16,0.86296
2015-01-19,0.8617
2015-01-20,0.86363
2015-01-21,0.86259
2015-01-22,0.86073
2015-01-23,0.89302
2015-01-26,0.88936
2015-01-27,0.88449
2015-01-28,0.88152
2015-01-29,0.88378
2015-01-30,0.88456
2015-02-02,0.88417
2015-02-03,0.87904
2015-02-04,0.87367
2015-02-05,0.87642
2015-02-06,0.87359
2015-02-09,0.88692
2015-02-10,0.88519
2015-02-11,0.88386
2015-02-12,0.88277
2015-02-13,0.87866
2015-02-16,0.87658
2015-02-17,0.87604
2015-02-18,0.87935
2015-02-19,0.87819
2015-02-20,0.88511
2015-02-23,0.88511
2015-02-24,0.88277
2015-02-25,0.88137
2015-02-26,0.88363
2015-02-27,0.88968
2015-03-02,0.89071
2015-03-03,0.89542
2015-03-04,0.89896
2015-03-05,0.90342
2015-03-06,0.91216
2015-03-09,0.92081
2015-03-10,0.93127
2015-03-11,0.94536
2015-03-12,0.94224
2015-03-13,0.94589
2015-03-16,0.94724
2015-03-17,0.94029
2015-03-18,0.94411
2015-03-19,0.93659
2015-03-20,0.92799
2015-03-23,0.91642
2015-03-24,0.91324
2015-03-25,0.91033
2015-03-26,0.91133
2015-03-27,0.92115
2015-03-30,0.92208
2015-03-31,0.92945
2015-04-01,0.9298
2015-04-02,0.92336
2015-04-07,0.92191
2015-04-08,0.92064
2015-04-09,0.92816
2015-04-10,0.94607
2015-04-13,0.94769
2015-04-14,0.94661
2015-04-15,0.94527
2015-04-16,0.93362
2015-04-17,0.92473
2015-04-20,0.93257
2015-04-21,0.93458
2015-04-22,0.93084
2015-04-23,0.92833
2015-04-24,0.92387
2015-04-27,0.92404
2015-04-28,0.91516
2015-04-29,0.90893
2015-04-30,0.89166
2015-05-04,0.8967
2015-05-05,0.89952
2015-05-06,0.89047
2015-05-07,0.88456
2015-05-08,0.89119
2015-05-11,0.8975
2015-05-12,0.88976
2015-05-13,0.89119
2015-05-14,0.87573
2015-05-15,0.88277
2015-05-18,0.87804
2015-05-19,0.89445
2015-05-20,0.89944
2015-05-21,0.89823
2015-05-22,0.89574
2015-05-25,0.91091
2015-05-26,0.91525
2015-05-27,0.92056
2015-05-28,0.91777
2015-05-29,0.91158
2015-06-01,0.91374
2015-06-02,0.9067
2015-06-03,0.89815
2015-06-04,0.88363
2015-06-05,0.89142
2015-06-08,0.8959
2015-06-09,0.88897
2015-06-10,0.8866
2015-06-11,0.89031
2015-06-12,0.89127
2015-06-15,0.89142
2015-06-16,0.89166
2015-06-17,0.8866
2015-06-18,0.87689
2015-06-19,0.88503
2015-06-22,0.88145
2015-06-23,0.89254
2015-06-24,0.89182
2015-06-25,0.89238
2015-06-26,0.8927
2015-06-29,0.89823
2015-06-30,0.89373
2015-07-01,0.9009
2015-07-02,0.90367
2015-07-03,0.90123
2015-07-06,0.90843
2015-07-07,0.91483
2015-07-08,0.90711
2015-07-09,0.90465
2015-07-10,0.89405
2015-07-13,0.90506
2015-07-14,0.90654
2015-07-15,0.90835
2015-07-16,0.92022
2015-07-17,0.91836
2015-07-20,0.92149
2015-07-21,0.92022
2015-07-22,0.91726
2015-07-23,0.90917
2015-07-24,0.91416
2015-07-27,0.90432
2015-07-28,0.90703
2015-07-29,0.90662
2015-07-30,0.91283
2015-07-31,0.91183
2015-08-03,0.91316
2015-08-04,0.91133
2015-08-05,0.91886
2015-08-06,0.9187
2015-08-07,0.91399
2015-08-10,0.91241
2015-08-11,0.90457
2015-08-12,0.89646
2015-08-13,0.90017
2015-08-14,0.89518
2015-08-17,0.9009
2015-08-18,0.90416
2015-08-19,0.90572
2015-08-20,0.89421
2015-08-21,0.88645
2015-08-24,0.86979
2015-08-25,0.86911
2015-08-26,0.87704
2015-08-27,0.88621
2015-08-28,0.88747
2015-08-31,0.89166
2015-09-01,0.89
2015-09-02,0.88849
2015-09-03,0.89055
2015-09-04,0.89783
2015-09-07,0.89718
2015-09-08,0.8959
2015-09-09,0.89775
2015-09-10,0.89405
2015-09-11,0.88747
2015-09-14,0.88456
2015-09-15,0.88339
2015-09-16,0.89063
2015-09-17,0.88402
2015-09-18,0.87573
2015-09-21,0.88889
2015-09-22,0.89646
2015-09-23,0.89686
2015-09-24,0.8896
2015-09-25,0.89678
2015-09-28,0.89526
2015-09-29,0.89254
2015-09-30,0.89262
2015-10-01,0.89662
2015-10-02,0.89606
2015-10-05,0.89
2015-10-06,0.89095
2015-10-07,0.88763
2015-10-08,0.88857
2015-10-09,0.88013
2015-10-12,0.87928
2015-10-13,0.8792
2015-10-14,0.87642
2015-10-15,0.8742
2015-10-16,0.88028
2015-10-19,0.88238
2015-10-20,0.87928
2015-10-21,0.88075
2015-10-22,0.88394
2015-10-23,0.9022
2015-10-26,0.90818
2015-10-27,0.90408
2015-10-28,0.90212
2015-10-29,0.91491
